Date,Actual_CPI,Predicted_CPI,Experiment,Model MAE,Naive MAE,CPI Std,CPI Std * 0.2
2020-01-01,2.093221698,2.0835145822108867,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-02,2.093213924,2.1018906012963923,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-03,2.09320615,2.0756416041692165,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-06,2.093182827,2.1035772150074186,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-07,2.093175053,2.0941763684474743,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-08,2.093175053,2.09036258490902,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-09,2.093175053,2.1033865898678896,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-10,2.093218868,2.0991083176004026,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-13,2.093350314,2.103024514184187,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-14,2.093394129,2.0921700264555447,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-15,2.093437944,2.1005737071478894,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-16,2.116205467,2.1191558182877164,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-17,2.138886222,2.1534140557301646,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-20,2.206884671,2.1835757813808994,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-21,2.229521611,2.2258751704841617,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-22,2.252158551,2.2363023956179475,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-23,2.27479549,2.2676915290983755,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-24,2.29743243,2.294693707183446,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-27,2.319896727,2.333519738076848,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-28,2.319868102,2.3321934118146137,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-29,2.319839477,2.3193820455471705,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-30,2.319810852,2.3279530275315095,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-01-31,2.319689357,2.3132101744555356,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-02-03,2.319324874,2.315937160290687,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-02-04,2.319232004,2.3155248922178786,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-02-05,2.319139134,2.296182411972126,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-02-06,2.319046265,2.3152105960962825,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-02-07,2.318916609,2.342683831584401,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-02-10,2.318620512,2.3397960720171525,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-02-11,2.318583726,2.333289074944176,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-02-12,2.31854694,2.3348334119188436,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-02-13,2.346534205,2.372503417935503,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-02-14,2.374484302,2.399939431976998,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-02-17,2.458371378,2.4237786752834705,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-02-18,2.486358261,2.5115692448963545,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-02-19,2.514345144,2.5208079174825233,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-02-20,2.542332027,2.5597413733592473,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-02-21,2.57031891,2.573773574968019,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
2020-02-24,2.598190589,2.6132058978395163,Exp 1: 5-day Return,0.014105774996615052,0.016811399186201777,2.269265039369086,0.4538530078738172
