release_date,release_date,cpi_value
1964-01-29,1964-01-29,30.88
1964-03-03,1964-03-03,30.94
1964-04-30,1964-04-30,30.94
1964-05-28,1964-05-28,30.95
1964-06-26,1964-06-26,30.98
1964-07-31,1964-07-31,31.01
1964-08-28,1964-08-28,31.02
1964-09-30,1964-09-30,31.05
1964-10-30,1964-10-30,31.08
1964-11-30,1964-11-30,31.12
1964-12-30,1964-12-30,31.21
1965-01-28,1965-01-28,31.25
1965-02-26,1965-02-26,31.28
1965-03-30,1965-03-30,31.28
1965-04-28,1965-04-28,31.31
1965-05-27,1965-05-27,31.38
1965-06-30,1965-06-30,31.48
1965-07-29,1965-07-29,31.61
1965-08-27,1965-08-27,31.58
1965-09-29,1965-09-29,31.55
1965-10-28,1965-10-28,31.62
1965-11-30,1965-11-30,31.65
1965-12-30,1965-12-30,31.75
1966-01-27,1966-01-27,31.85
1966-02-28,1966-02-28,31.88
1966-03-29,1966-03-29,32.08
1966-04-21,1966-04-21,32.18
1966-05-20,1966-05-20,32.28
1966-06-21,1966-06-21,32.35
1966-07-21,1966-07-21,32.38
1966-08-22,1966-08-22,32.45
1966-09-22,1966-09-22,32.65
1966-10-20,1966-10-20,32.75
1966-11-23,1966-11-23,32.85
1966-12-22,1966-12-22,32.88
1967-01-20,1967-01-20,32.92
1967-02-20,1967-02-20,32.9
1967-03-20,1967-03-20,33.0
1967-04-26,1967-04-26,33.0
1967-05-23,1967-05-23,33.1
1967-06-28,1967-06-28,33.1
1967-07-26,1967-07-26,33.3
1967-08-25,1967-08-25,33.4
1967-09-27,1967-09-27,33.5
1967-10-26,1967-10-26,33.6
1967-11-29,1967-11-29,33.7
1967-12-22,1967-12-22,33.9
1968-01-25,1968-01-25,34.0
1968-02-29,1968-02-29,34.1
1968-03-27,1968-03-27,34.2
1968-04-26,1968-04-26,34.3
1968-05-28,1968-05-28,34.4
1968-06-28,1968-06-28,34.5
1968-07-31,1968-07-31,34.7
1968-08-27,1968-08-27,34.9
1968-09-26,1968-09-26,35.0
1968-10-29,1968-10-29,35.1
1968-11-27,1968-11-27,35.3
1968-12-27,1968-12-27,35.4
1969-01-29,1969-01-29,35.6
1969-02-25,1969-02-25,35.7
1969-03-25,1969-03-25,35.8
1969-04-24,1969-04-24,36.1
1969-05-22,1969-05-22,36.3
1969-06-24,1969-06-24,36.4
1969-07-23,1969-07-23,36.6
1969-08-22,1969-08-22,36.8
1969-09-22,1969-09-22,36.9
1969-10-22,1969-10-22,37.1
1969-11-21,1969-11-21,37.3
1969-12-19,1969-12-19,37.5
1970-01-19,1970-01-19,37.7
1970-02-19,1970-02-19,37.9
1970-03-20,1970-03-20,38.1
1970-04-22,1970-04-22,38.3
1970-05-20,1970-05-20,38.5
1970-06-18,1970-06-18,38.6
1970-07-21,1970-07-21,38.8
1970-08-21,1970-08-21,38.9
1970-09-19,1970-09-19,39.0
1970-10-21,1970-10-21,39.2
1970-11-20,1970-11-20,39.4
1970-12-23,1970-12-23,39.6
1971-01-29,1971-01-29,39.8
1971-02-19,1971-02-19,39.9
1971-03-19,1971-03-19,39.9
1971-04-22,1971-04-22,40.0
1971-05-21,1971-05-21,40.1
1971-06-22,1971-06-22,40.3
1971-07-22,1971-07-22,40.5
1971-08-20,1971-08-20,40.6
1971-09-22,1971-09-22,40.7
1971-10-22,1971-10-22,40.8
1971-11-19,1971-11-19,40.9
1971-12-22,1971-12-22,41.0
1972-01-21,1972-01-21,41.1
1972-02-23,1972-02-23,41.2
1972-03-22,1972-03-22,41.4
1972-04-21,1972-04-21,41.4
1972-05-19,1972-05-19,41.5
1972-06-21,1972-06-21,41.6
1972-07-21,1972-07-21,41.7
1972-08-22,1972-08-22,41.8
1972-09-22,1972-09-22,41.9
1972-10-20,1972-10-20,42.1
1972-11-21,1972-11-21,42.2
1972-12-22,1972-12-22,42.4
1973-01-23,1973-01-23,42.5
1973-02-22,1973-02-22,42.7
1973-03-21,1973-03-21,43.0
1973-04-20,1973-04-20,43.4
1973-05-22,1973-05-22,43.7
