,Importance
A068RC1,0.366197
CPI_YOY_LAG_1,0.11494693
IPFUELS,0.05412556
PMSAVE,0.053962544
PCEPI,0.04802301
PCEC96,0.04525692
HOUST,0.037398964
DRBLACBS,0.035926
GASREGW,0.03511857
CSCICP03USM665S,0.033043813
MORTGAGE30US,0.03268
DBB,0.030761711
DBA,0.02270598
PAYEMS,0.021421414
DRCCLACBS,0.01912465
CPI_YOY_LAG_8,0.01319669
CPI_YOY_LAG_2,0.011018705
TTLCONS,0.0069338894
PPIACO,0.0059678843
TOTCI,0.004559297
