,Importance
DBB,0.3333515
CPI_YOY_LAG_1,0.26548642
CES0500000003,0.03649833
A068RC1,0.013162445
CSUSHPISA,0.0048034904
PCEPI,0.00331702
A646RX1Q020SBEA,0.002517217
TTLCONS,0.0020854578
PAYEMS,0.0011999703
DSPIC96,0.0009090573
pct5EVIX,0.00084334443
CSCICP03USM665S,0.00082998775
TCU,0.00035201877
PMSAVE,0.0002913398
SPDW,0.00019384707
MORTGAGE30US,0.00012312173
RELACBW027SBOG,0.00010825178
TOTCI,0.00010475694
BACTSAMFRBDAL,9.354605e-05
RPI,8.575037e-05
